date,low,high,average,volume,close,open,range,twelveDay,twentySixDay,volumeEMA,singleDay,dayToDay,fiftyTwoDayHigh,fiftyTwoWeekHigh,fiftyTwoDayLow,fiftyTwoWeekLow,fiftyTwoWeekAverage,fiftyTwoDayStandDev,fiftyTwoWeekStandDev
2000-03-03,0.4440031771247024,0.809372517871326,0.6205101050216213,-0.8260557375577795,0.6081546200688375,0.4440031771247024,-0.6121525533290256,0.15819503026534654,-0.34598886058331657,-1.0,0.1168831168831177,-0.1515151515151516,1.0,1.0,-0.8510384971557086,-1.0,-0.29494913982606263,1.0,1.0
2000-03-06,-0.33892345144711933,1.0,0.526643224235867,1.0,0.91885312415472,-0.3253989721395727,1.0,-0.5079216614937281,-0.8374377781906207,-0.7730919953552757,-1.0,1.0,1.0,1.0,-0.8362217224500597,-1.0,-0.2618607494913887,1.0,1.0
2000-03-07,0.13888888888888884,0.9722222222222223,0.5185185185185182,1.0,0.4444444444444444,0.8333333333333333,0.14473684210526305,-0.38849122921137935,-0.7815366405619224,-0.2864204421466756,1.0,-1.0,1.0,1.0,-0.8986823799001555,-1.0,-0.5271538860244975,1.0,1.0
2000-03-08,0.37473355122921714,0.7157879778314622,0.6021031689640473,-0.11268451234912946,0.7157879778314622,0.5452607645303396,-0.6447368421052634,-0.2672397787087737,-0.7159349191619153,-0.13597734056362887,0.33333333333333326,-0.20588235294117652,1.0,1.0,-0.8936083149193879,-1.0,-0.5092134337808677,1.0,1.0
2000-03-09,0.46666666666666656,0.7490196078431373,0.6444444444444442,-0.5389934372606257,0.7176470588235293,0.5294117647058822,-0.7763157894736844,-0.2423421763698178,-0.7787304273226223,-0.2277513605966336,0.33333333333333326,-0.47058823529411764,1.0,1.0,-0.8751125296669122,-1.0,-0.49152639651043795,1.0,1.0
2000-03-10,0.30980392156862746,0.7772549019607844,0.48653594771241804,-0.5494275717864314,0.37254901960784315,0.7176470588235293,-0.5175438596491229,-0.1330104577574832,-0.6838354491949941,-0.28722636526912926,0.8999999999999999,-0.8235294117647058,1.0,1.0,-0.8404124723790818,-1.0,-0.47660117387591006,1.0,1.0
2000-03-13,-0.019607843137254943,0.2752941176470589,0.09751633986928065,-0.5057863900792912,0.03686274509803966,-0.0007843137254903709,-0.7587719298245614,-0.09843143811346777,-0.6252340650151743,-0.31311304037778354,0.49333333333333274,-0.8147058823529408,1.0,1.0,-0.7687208445863001,-1.0,-0.4642707300624366,1.0,1.0
2000-03-14,-0.4200988467874791,0.14332784184514002,-0.11037891268533828,-0.24033703910730186,-0.054365733113673764,0.04448105436573324,-0.4210526315789478,-0.14713762030928468,-0.6621585052942919,-0.0443382537441559,0.6333333333333333,-0.5382352941176474,1.0,1.0,-0.7001391275881823,-1.0,-0.4525145265570011,1.0,1.0
2000-03-15,-0.6369747899159665,-0.1394957983193279,-0.45994397759103656,-0.3980558116148496,-0.6033613445378152,-0.1394957983193279,-0.6291079812206573,-0.21372379024970745,-0.6780007508573325,-0.11511901959951276,0.9933333333333332,-0.9617647058823531,1.0,1.0,-0.7001391275881823,-1.0,-0.4442211532535343,1.0,1.0
2000-03-16,-0.680672268907563,-0.31092436974789917,-0.48907563025210077,-0.5151320301783264,-0.47563025210084053,-0.546218487394958,-0.8075117370892015,-0.2550265662500667,-0.6638313668119398,-0.33215461450182115,0.4633333333333336,-0.3882352941176471,1.0,1.0,-0.7001391275881823,-1.0,-0.4353715425197463,1.0,1.0
